Bait	Prey	PreyGene	Spec	SpecSum	AvgSpec	NumReplicates	ctrlCounts	AvgP	MaxP	TopoAvgP	TopoMaxP	SaintScore	FoldChange	BFDR	boosted_by
HumanCicGFP	P49247	RPIA	2	2	2.00	1	2	0.00	0.00	0.00	0.00	0.00	1.00	0.58	
HumanCicGFP	P27635	RPL10	4	4	4.00	1	5	0.00	0.00	0.00	0.00	0.00	0.80	0.58	
HumanCicGFP	P62906	RPL10A	7	7	7.00	1	8	0.00	0.00	0.00	0.00	0.00	0.88	0.58	
HumanCicGFP	P62913	RPL11	2	2	2.00	1	3	0.00	0.00	0.00	0.00	0.00	0.67	0.58	
HumanCicGFP	P30050	RPL12	7	7	7.00	1	6	0.00	0.00	0.00	0.00	0.00	1.17	0.52	
HumanCicGFP	P26373	RPL13	6	6	6.00	1	7	0.00	0.00	0.00	0.00	0.00	0.86	0.58	
HumanCicGFP	P40429	RPL13A	6	6	6.00	1	6	0.00	0.00	0.00	0.00	0.00	1.00	0.58	
HumanCicGFP	P50914	RPL14	8	8	8.00	1	5	0.00	0.00	0.00	0.00	0.00	1.60	0.47	
HumanCicGFP	P61313	RPL15	1	1	1.00	1	3	0.00	0.00	0.00	0.00	0.00	0.33	0.58	
HumanCicGFP	P18621	RPL17	4	4	4.00	1	2	0.10	0.10	0.10	0.10	0.10	2.00	0.30	
HumanCicGFP	Q07020	RPL18	5	5	5.00	1	6	0.00	0.00	0.00	0.00	0.00	0.83	0.58	
HumanCicGFP	Q02543	RPL18A	4	4	4.00	1	4	0.00	0.00	0.00	0.00	0.00	1.00	0.58	
HumanCicGFP	P84098	RPL19	2	2	2.00	1	2	0.00	0.00	0.00	0.00	0.00	1.00	0.58	
HumanCicGFP	P46778	RPL21	3	3	3.00	1	3	0.00	0.00	0.00	0.00	0.00	1.00	0.58	
HumanCicGFP	P35268	RPL22	4	4	4.00	1	3	0.00	0.00	0.00	0.00	0.00	1.33	0.43	
HumanCicGFP	Q6P5R6	RPL22L1	1	1	1.00	1	1	0.00	0.00	0.00	0.00	0.00	1.00	0.58	
HumanCicGFP	P62829	RPL23	5	5	5.00	1	3	0.01	0.01	0.01	0.01	0.01	1.67	0.40	
HumanCicGFP	P62750	RPL23A	5	5	5.00	1	7	0.00	0.00	0.00	0.00	0.00	0.71	0.58	
HumanCicGFP	P83731	RPL24	5	5	5.00	1	5	0.00	0.00	0.00	0.00	0.00	1.00	0.58	
HumanCicGFP	P61254	RPL26	3	3	3.00	1	3	0.00	0.00	0.00	0.00	0.00	1.00	0.58	
HumanCicGFP	P61353	RPL27	4	4	4.00	1	4	0.00	0.00	0.00	0.00	0.00	1.00	0.58	
HumanCicGFP	P46776	RPL27A	3	3	3.00	1	5	0.00	0.00	0.00	0.00	0.00	0.60	0.58	
HumanCicGFP	P46779	RPL28	1	1	1.00	1	1	0.00	0.00	0.00	0.00	0.00	1.00	0.58	
HumanCicGFP	P47914	RPL29	2	2	2.00	1	2	0.00	0.00	0.00	0.00	0.00	1.00	0.58	
HumanCicGFP	P39023	RPL3	8	8	8.00	1	11	0.00	0.00	0.00	0.00	0.00	0.73	0.58	
HumanCicGFP	P62888	RPL30	7	7	7.00	1	7	0.00	0.00	0.00	0.00	0.00	1.00	0.58	
HumanCicGFP	P62899	RPL31	3	3	3.00	1	3	0.00	0.00	0.00	0.00	0.00	1.00	0.58	
HumanCicGFP	P49207	RPL34	1	1	1.00	1	1	0.00	0.00	0.00	0.00	0.00	1.00	0.58	
HumanCicGFP	P42766	RPL35	2	2	2.00	1	3	0.00	0.00	0.00	0.00	0.00	0.67	0.58	
HumanCicGFP	P18077	RPL35A	2	2	2.00	1	3	0.00	0.00	0.00	0.00	0.00	0.67	0.58	
HumanCicGFP	Q9Y3U8	RPL36	1	1	1.00	1	0	0.00	0.00	0.00	0.00	0.00	10.00	0.58	
HumanCicGFP	P61513	RPL37A	1	1	1.00	1	1	0.00	0.00	0.00	0.00	0.00	1.00	0.58	
HumanCicGFP	P63173	RPL38	3	3	3.00	1	2	0.03	0.03	0.03	0.03	0.03	1.50	0.35	
HumanCicGFP	P36578	RPL4	12	12	12.00	1	15	0.00	0.00	0.00	0.00	0.00	0.80	0.58	
HumanCicGFP	P46777	RPL5	5	5	5.00	1	10	0.00	0.00	0.00	0.00	0.00	0.50	0.58	
HumanCicGFP	Q02878	RPL6	9	9	9.00	1	13	0.00	0.00	0.00	0.00	0.00	0.69	0.58	
HumanCicGFP	P18124	RPL7	10	10	10.00	1	9	0.00	0.00	0.00	0.00	0.00	1.11	0.54	
HumanCicGFP	P62424	RPL7A	9	9	9.00	1	8	0.00	0.00	0.00	0.00	0.00	1.12	0.53	
HumanCicGFP	P62917	RPL8	2	2	2.00	1	4	0.00	0.00	0.00	0.00	0.00	0.50	0.58	
HumanCicGFP	P32969	RPL	5	5	5.00	1	3	0.01	0.01	0.01	0.01	0.01	1.67	0.40	
HumanCicGFP	P05388	RPLP0	10	10	10.00	1	10	0.00	0.00	0.00	0.00	0.00	1.00	0.58	
HumanCicGFP	P05386	RPLP1	1	1	1.00	1	1	0.00	0.00	0.00	0.00	0.00	1.00	0.58	
HumanCicGFP	P05387	RPLP2	2	2	2.00	1	1	0.19	0.19	0.19	0.19	0.19	2.00	0.13	
HumanCicGFP	P04843	RPN1	8	8	8.00	1	11	0.00	0.00	0.00	0.00	0.00	0.73	0.58	
HumanCicGFP	P04844	RPN2	4	4	4.00	1	5	0.00	0.00	0.00	0.00	0.00	0.80	0.58	
HumanCicGFP	P46783	RPS10	2	2	2.00	1	4	0.00	0.00	0.00	0.00	0.00	0.50	0.58	
HumanCicGFP	P62280	RPS11	2	2	2.00	1	5	0.00	0.00	0.00	0.00	0.00	0.40	0.58	
HumanCicGFP	P62277	RPS13	4	4	4.00	1	4	0.00	0.00	0.00	0.00	0.00	1.00	0.58	
HumanCicGFP	P62263	RPS14	7	7	7.00	1	8	0.00	0.00	0.00	0.00	0.00	0.88	0.58	
HumanCicGFP	P62841	RPS15	1	1	1.00	1	1	0.00	0.00	0.00	0.00	0.00	1.00	0.58	
HumanCicGFP	P62244	RPS15A	5	5	5.00	1	7	0.00	0.00	0.00	0.00	0.00	0.71	0.58	
HumanCicGFP	P62249	RPS16	9	9	9.00	1	9	0.00	0.00	0.00	0.00	0.00	1.00	0.58	
HumanCicGFP	P08708	RPS17	6	6	6.00	1	5	0.00	0.00	0.00	0.00	0.00	1.20	0.50	
HumanCicGFP	P62269	RPS18	8	8	8.00	1	8	0.00	0.00	0.00	0.00	0.00	1.00	0.58	
HumanCicGFP	P39019	RPS19	6	6	6.00	1	6	0.00	0.00	0.00	0.00	0.00	1.00	0.58	
HumanCicGFP	P15880	RPS2	7	7	7.00	1	10	0.00	0.00	0.00	0.00	0.00	0.70	0.58	
HumanCicGFP	P60866	RPS20	3	3	3.00	1	3	0.00	0.00	0.00	0.00	0.00	1.00	0.58	
HumanCicGFP	P62266	RPS23	3	3	3.00	1	2	0.03	0.03	0.03	0.03	0.03	1.50	0.35	
HumanCicGFP	P62847	RPS24	4	4	4.00	1	4	0.00	0.00	0.00	0.00	0.00	1.00	0.58	
